0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
1,-1.1241,-1.1236,-1.123,-1.1232,-1.1239,-1.1222,-1.1229,-1.1241,-1.1221,-1.1221,-1.1228,-1.1215,-1.1215,-1.1205,-1.1207,-1.1199,-1.1208,-1.1177,-1.1172,-1.1138,-1.113,-1.1097,-1.0993,-1.0647,-0.98508,-0.85164,-0.66602,-0.42827,-0.1853,0.07908899999999999,0.3282,0.56379,0.72625,0.86179,0.9427700000000001,0.98677,1.0106,1.0245,1.0343,1.0415,1.0447,1.0469,1.0427,1.0479,1.0519,1.056,1.0539,1.0554,1.0528,1.0539,1.0518,1.0537,1.0514,1.0518,1.0544,1.0547,1.0523,1.0583,1.0539,1.0523,1.0505,1.0529,1.0509,1.0534,1.0511,1.0489,1.0474,1.0449,1.0447,1.0468,1.0448,1.0457,1.0462,1.0443,1.0426,1.044,1.044,1.0489,1.0458,1.0441,1.0446,1.0359,1.0390000000000001,1.0352,1.04,1.0409,1.0424,1.0432,1.0456,1.042,1.0383,1.0305,1.0095,0.98846,0.96226,0.94681,0.9069200000000001,0.8760100000000001,0.81886,0.73943,0.65403,0.55575,0.43591,0.31747,0.18839,0.052277,-0.07859,-0.21445,-0.32759,-0.43132,-0.53717,-0.6353300000000001,-0.7258,-0.80669,-0.88454,-0.9470200000000001,-1.0070000000000001,-1.0605,-1.0973,-1.1205,-1.1289,-1.1294,-1.1267,-1.1237,-1.1135,-1.1097,-1.105,-1.0978,-1.0945,-1.0862,-1.0851,-1.0821,-1.0828,-1.0795,-1.0797,-1.0789,-1.0781,-1.0789,-1.0787,-1.0782,-1.078,-1.0789,-1.0791,-1.0795,-1.0796,-1.0799,-1.0797,-1.0788,-1.0781,-1.0785
1,-0.58413,-0.5857899999999999,-0.58691,-0.5867,-0.5884,-0.5874699999999999,-0.58737,-0.58797,-0.5885199999999999,-0.58749,-0.58745,-0.5878800000000001,-0.58814,-0.58786,-0.5895,-0.5887899999999999,-0.5893,-0.58929,-0.5898399999999999,-0.5899800000000001,-0.59062,-0.5904,-0.59224,-0.59119,-0.5912,-0.5909399999999999,-0.5907,-0.59097,-0.58997,-0.58905,-0.58859,-0.5897,-0.5907100000000001,-0.59019,-0.59001,-0.5896,-0.5886,-0.589,-0.58562,-0.5842,-0.58008,-0.57514,-0.5714899999999999,-0.5684100000000001,-0.56523,-0.5668,-0.5655399999999999,-0.54965,-0.5069,-0.41523000000000004,-0.35475,-0.28486999999999996,-0.15845,-0.068473,0.1484,0.46757,0.5905100000000001,0.71019,0.86118,1.064,1.2833,1.476,1.6776,1.8534,1.9426,2.0023,2.0023,2.022,2.0193,2.0129,2.0264,2.0288,2.0337,2.0306,2.037,2.0437,2.0437,2.046,2.0503,2.0540000000000003,2.0448,2.0284,1.9807,1.9221,1.8128,1.6769,1.5302,1.3889,1.2452,1.1155,1.0156,0.86706,0.72116,0.6268,0.39238,0.24119000000000002,-0.080915,-0.23686,-0.3806,-0.52927,-0.66059,-0.76232,-0.82549,-0.84252,-0.8381799999999999,-0.81361,-0.78538,-0.75884,-0.7228600000000001,-0.69691,-0.66667,-0.64251,-0.6196,-0.60443,-0.59624,-0.59736,-0.59856,-0.59873,-0.60182,-0.60254,-0.5998899999999999,-0.60072,-0.6008,-0.60406,-0.60448,-0.60592,-0.6075,-0.6079100000000001,-0.61205,-0.6121,-0.61069,-0.612,-0.61241,-0.61264,-0.61136,-0.6107899999999999,-0.61087,-0.6099100000000001,-0.61068,-0.61048,-0.6088399999999999,-0.60764,-0.60443,-0.6067,-0.60225,-0.6026699999999999,-0.59911,-0.59825,-0.59767,-0.5967899999999999
1,-0.6724399999999999,-0.67068,-0.6713,-0.67168,-0.6713899999999999,-0.67101,-0.67164,-0.67061,-0.67074,-0.6716,-0.67301,-0.67205,-0.67227,-0.6715,-0.66977,-0.66777,-0.6675399999999999,-0.66533,-0.66246,-0.6610699999999999,-0.65905,-0.6574,-0.6568,-0.65658,-0.65649,-0.65694,-0.65447,-0.6534,-0.65174,-0.64986,-0.6491100000000001,-0.6490199999999999,-0.64675,-0.6439600000000001,-0.6451100000000001,-0.6449199999999999,-0.6433399999999999,-0.64323,-0.64407,-0.64262,-0.64261,-0.64155,-0.64288,-0.64174,-0.6321,-0.6066699999999999,-0.5479999999999999,-0.45688,-0.36488000000000004,-0.27347,-0.16848,0.11767000000000001,0.26750999999999997,0.50881,0.70349,0.81281,0.93121,1.0719,1.2323,1.4408,1.6027,1.7618,1.8647,1.9123,1.9280000000000002,1.9399,1.9482,1.9582,1.9749,1.9797,1.9768,1.9837,1.9889,1.9887,1.9952,1.9922,1.9922,1.99,1.9923,1.9817,1.9525,1.9095,1.8499,1.7496,1.6181,1.4743,1.3226,1.1882,1.0735,0.95721,0.8439700000000001,0.7486,0.67535,0.5877,0.40292,0.10021000000000001,-0.12480999999999999,-0.26534,-0.37988,-0.50021,-0.5983,-0.67202,-0.7168800000000001,-0.73365,-0.73053,-0.72635,-0.71416,-0.70095,-0.68655,-0.67609,-0.66419,-0.6573100000000001,-0.6499699999999999,-0.64322,-0.63644,-0.62507,-0.6136699999999999,-0.6037899999999999,-0.59934,-0.59877,-0.59721,-0.60256,-0.61114,-0.61832,-0.62388,-0.6278600000000001,-0.6289899999999999,-0.62903,-0.62541,-0.62232,-0.6117,-0.60448,-0.59992,-0.5966199999999999,-0.59478,-0.5928100000000001,-0.58854,-0.58302,-0.57989,-0.5722,-0.5674,-0.5663600000000001,-0.5647399999999999,-0.5648,-0.56275,-0.5645399999999999,-0.56479,-0.5637,-0.56223,-0.5632199999999999
1,-0.65786,-0.6563100000000001,-0.6563399999999999,-0.65805,-0.6563,-0.6552,-0.65525,-0.6550699999999999,-0.6554399999999999,-0.65609,-0.6569699999999999,-0.65436,-0.65442,-0.65327,-0.65136,-0.65075,-0.65158,-0.65067,-0.64961,-0.6500600000000001,-0.65159,-0.65112,-0.65054,-0.6501600000000001,-0.64974,-0.64942,-0.64952,-0.64831,-0.64742,-0.6464,-0.64557,-0.6419,-0.64115,-0.64242,-0.6417,-0.63713,-0.63689,-0.63781,-0.6359899999999999,-0.63558,-0.63452,-0.6336,-0.63517,-0.63422,-0.6288600000000001,-0.59963,-0.52849,-0.44064,-0.34021999999999997,-0.22007,-0.1232,0.062791,0.3125,0.65701,0.77975,0.9206200000000001,1.0688,1.2432,1.419,1.607,1.7337,1.8178,1.8522,1.881,1.8819,1.8999,1.8857,1.9081,1.9065,1.9134,1.9132,1.9041,1.9104,1.9140000000000001,1.9069,1.9034,1.9034,1.9152,1.9183,1.9048,1.8904,1.8757,1.8227,1.7532,1.6685,1.5387,1.3982,1.26,1.1292,1.0209,0.90933,0.7854899999999999,0.6916899999999999,0.61961,0.33462,0.24320999999999998,0.028248000000000002,-0.19296,-0.34904,-0.46874,-0.58785,-0.67952,-0.73863,-0.75845,-0.76053,-0.7526,-0.7297399999999999,-0.7138800000000001,-0.70303,-0.69594,-0.69152,-0.68834,-0.68292,-0.68035,-0.67243,-0.66697,-0.6562100000000001,-0.65295,-0.6468,-0.64489,-0.6419699999999999,-0.63778,-0.6354,-0.6315,-0.62743,-0.6241300000000001,-0.6225,-0.61993,-0.61832,-0.61555,-0.6149,-0.61441,-0.61201,-0.61061,-0.61255,-0.61159,-0.61297,-0.6131800000000001,-0.61429,-0.6141,-0.61605,-0.61606,-0.6174,-0.61744,-0.62011,-0.62059,-0.62198,-0.62331,-0.62371,-0.6241899999999999
2,-1.2495,-1.2521,-1.2501,-1.2491,-1.2489,-1.2469,-1.2497,-1.249,-1.25,-1.2512,-1.2546,-1.2594,-1.2672,-1.2737,-1.2818,-1.2877,-1.2909,-1.2906,-1.286,-1.2526,-1.1918,-1.1287,-1.0364,-0.97604,-0.94053,-0.9176,-0.90833,-0.90248,-0.8884,-0.8628100000000001,-0.83591,-0.81406,-0.8001199999999999,-0.80224,-0.8083100000000001,-0.7998,-0.7879,-0.77872,-0.77565,-0.76854,-0.73065,-0.631,-0.48649,-0.31419,-0.12218,0.071507,0.25506,0.42033000000000004,0.55928,0.6746800000000001,0.77099,0.8380799999999999,0.90015,0.96611,1.0109,1.0431,1.0731,1.0923,1.0992,1.1089,1.1131,1.1166,1.1226,1.1276,1.1339,1.1364,1.1343,1.1325,1.131,1.1340000000000001,1.131,1.1303,1.1331,1.1312,1.1333,1.1323,1.1323,1.1306,1.1298,1.1312,1.1301,1.1278,1.1304,1.1279,1.1316,1.1332,1.1294,1.13,1.1334,1.1331,1.1334,1.1362,1.1341,1.1355,1.1378,1.1364,1.1348,1.1361,1.1377,1.1383,1.1328,1.1316,1.1223,1.1156,1.0956,1.0633,1.0285,0.97719,0.92155,0.8607799999999999,0.79322,0.7116100000000001,0.61761,0.53546,0.43996,0.33974,0.23318000000000003,0.1251,0.029467,-0.077782,-0.16789,-0.27388,-0.3837,-0.4827,-0.57822,-0.66303,-0.73426,-0.79881,-0.8568100000000001,-0.91202,-0.9495399999999999,-0.9698899999999999,-0.9865700000000001,-0.98934,-0.98511,-0.9858299999999999,-0.98829,-0.9882200000000001,-0.98845,-0.9908100000000001,-0.99656,-1.0059,-1.0189,-1.0343,-1.0451,-1.0517,-1.0628,-1.0672,-1.0701,-1.0692
2,-0.7093,-0.7137,-0.71459,-0.71555,-0.71549,-0.7166600000000001,-0.71724,-0.7201,-0.72332,-0.72705,-0.72922,-0.73154,-0.73224,-0.7325,-0.73155,-0.73093,-0.72868,-0.72529,-0.7213,-0.7179800000000001,-0.71327,-0.70939,-0.70733,-0.70494,-0.70433,-0.70422,-0.70291,-0.70265,-0.70212,-0.70127,-0.70007,-0.69672,-0.69248,-0.68413,-0.66796,-0.63642,-0.59182,-0.57224,-0.57129,-0.5904699999999999,-0.6066199999999999,-0.6306,-0.63735,-0.62397,-0.5926600000000001,-0.56418,-0.55255,-0.53909,-0.50793,-0.46386000000000005,-0.38104,-0.24900999999999998,-0.094986,0.083564,0.27294,0.45657,0.64282,0.8311200000000001,1.0321,1.2462,1.4478,1.6018,1.7117,1.7436,1.7777,1.7839,1.7888,1.7931,1.7961,1.7986,1.8008,1.8023,1.8078,1.8149,1.8216,1.8233,1.8233,1.8255,1.8277,1.8287,1.8324,1.8294,1.83,1.8259999999999998,1.8175,1.8026,1.7675,1.7131,1.6336,1.5352,1.4153,1.2765,1.1272,0.9716100000000001,0.82139,0.68511,0.54673,0.4104,0.2568,0.10613,-0.027252999999999996,-0.15988,-0.2786,-0.37676,-0.44873999999999997,-0.49487,-0.52533,-0.53633,-0.53563,-0.5293100000000001,-0.5170899999999999,-0.50698,-0.50375,-0.50398,-0.51223,-0.52083,-0.5277,-0.5318,-0.5281600000000001,-0.52047,-0.5161,-0.5230899999999999,-0.54205,-0.57436,-0.60616,-0.64632,-0.6884600000000001,-0.7241,-0.75337,-0.7735,-0.78254,-0.7864300000000001,-0.7859999999999999,-0.78695,-0.78815,-0.7883100000000001,-0.7845300000000001,-0.7788,-0.7709699999999999,-0.76479,-0.7599199999999999,-0.75647,-0.7550899999999999,-0.75578,-0.75858,-0.7600600000000001,-0.76132,-0.76055,-0.75885,-0.7573
2,-1.1626,-1.1583,-1.1537,-1.1513,-1.1448,-1.1419,-1.1394,-1.1383,-1.1366,-1.1333,-1.1327,-1.1282,-1.13,-1.1119,-1.0585,-0.97913,-0.9029299999999999,-0.8316100000000001,-0.78093,-0.7641100000000001,-0.74826,-0.75435,-0.76044,-0.78157,-0.78785,-0.7961199999999999,-0.79695,-0.7941699999999999,-0.77688,-0.75855,-0.74387,-0.7290300000000001,-0.7167100000000001,-0.70168,-0.67662,-0.62556,-0.5442,-0.42738000000000004,-0.28136,-0.11188,0.077875,0.24691,0.40365,0.55145,0.6671199999999999,0.79257,0.87211,0.94471,1.0318,1.1276,1.1427,1.1689,1.1874,1.1976,1.2061,1.2059,1.2325,1.2429,1.213,1.2173,1.2216,1.226,1.2283,1.2376,1.2191,1.2413,1.2428,1.2463,1.2613,1.2696,1.2629,1.2428,1.2421,1.2407,1.2244,1.2199,1.2199,1.2246,1.2369,1.2402,1.232,1.2349,1.2464,1.2322,1.2451,1.2498,1.2522,1.2715,1.2403,1.2317,1.2358,1.2433,1.2594,1.2402,1.2503,1.2119,1.1893,1.178,1.1183,1.0146,0.91969,0.8119,0.66132,0.52045,0.35872,0.20310999999999998,0.031125,-0.12838,-0.2734,-0.39881,-0.52341,-0.62551,-0.68108,-0.72337,-0.76702,-0.78627,-0.7901699999999999,-0.79118,-0.79095,-0.7867,-0.7773100000000001,-0.78278,-0.78735,-0.7907,-0.79523,-0.80466,-0.81499,-0.8200799999999999,-0.8259,-0.8235,-0.83268,-0.8509399999999999,-0.85941,-0.8867,-0.90954,-0.94463,-1.0016,-1.0552,-1.1142,-1.1429,-1.1462,-1.1441,-1.1404,-1.1356,-1.1149,-1.1039,-1.0875,-1.0757,-1.0671,-1.0666
2,-0.65473,-0.62292,-0.60388,-0.5866899999999999,-0.58375,-0.58643,-0.59253,-0.5969,-0.60211,-0.60718,-0.60682,-0.60736,-0.6098600000000001,-0.61105,-0.61503,-0.61752,-0.62042,-0.62522,-0.62734,-0.63348,-0.63786,-0.63946,-0.64354,-0.64731,-0.64859,-0.65187,-0.65093,-0.65166,-0.6500100000000001,-0.6442399999999999,-0.64255,-0.6411399999999999,-0.64,-0.63362,-0.61606,-0.58986,-0.55878,-0.56862,-0.59677,-0.62916,-0.6472,-0.64075,-0.61849,-0.59665,-0.5695100000000001,-0.55648,-0.53684,-0.50717,-0.45978,-0.38145,-0.26082,-0.11270999999999999,0.053457000000000005,0.2455,0.42201000000000005,0.60565,0.7963899999999999,0.9974299999999999,1.2004,1.3957,1.5722,1.7041,1.776,1.8204,1.8269,1.8567,1.8628,1.8668,1.8683,1.8719,1.8751,1.8745,1.8793,1.8785,1.8818,1.8826,1.8826,1.8819,1.8821,1.8787,1.8808,1.8795,1.8736,1.8626,1.8356,1.7772,1.693,1.5784,1.445,1.2923,1.1192,0.95281,0.79985,0.65791,0.51717,0.38961999999999997,0.26022,0.13380999999999998,0.009654600000000001,-0.10421,-0.21620999999999999,-0.31759,-0.41536000000000006,-0.49323999999999996,-0.5498,-0.58426,-0.5976899999999999,-0.60611,-0.61257,-0.61697,-0.62536,-0.62789,-0.6216,-0.61652,-0.61193,-0.61225,-0.6228600000000001,-0.64173,-0.66992,-0.7054600000000001,-0.7427600000000001,-0.77652,-0.80289,-0.81453,-0.81894,-0.81793,-0.81488,-0.81252,-0.8035800000000001,-0.7907,-0.77968,-0.76632,-0.75375,-0.73897,-0.7258399999999999,-0.71586,-0.71168,-0.70872,-0.70434,-0.70336,-0.7018800000000001,-0.70004,-0.6997,-0.70038,-0.7004199999999999,-0.70195,-0.70567,-0.7077399999999999,-0.7115,-0.71453
2,-1.103,-1.1042,-1.1026,-1.0984,-1.095,-1.0952,-1.0948,-1.094,-1.0947,-1.0911,-1.0933,-1.0935,-1.0963,-1.0979999999999999,-1.0966,-1.0894,-1.064,-1.0167,-0.95116,-0.88726,-0.82489,-0.77893,-0.7503,-0.73882,-0.73492,-0.74107,-0.73739,-0.71585,-0.7025899999999999,-0.69305,-0.6893,-0.6742199999999999,-0.6549,-0.63089,-0.5948100000000001,-0.54566,-0.45165,-0.30296,-0.1293,0.039034,0.24664,0.44883,0.57834,0.72721,0.85475,0.97503,1.0532,1.1111,1.1587,1.1963,1.2017,1.1999,1.1985,1.2129,1.2134,1.2099,1.206,1.2032,1.1989,1.1994,1.2009999999999998,1.2083,1.2149,1.2171,1.2115,1.2134,1.2168,1.2209,1.2202,1.2235,1.2244,1.2267,1.2183,1.2232,1.216,1.2149,1.2149,1.2158,1.2198,1.2177,1.2182,1.2092,1.2115,1.2057,1.2037,1.207,1.2014,1.2013,1.2054,1.2059,1.2127,1.2132,1.2125,1.2045,1.1996,1.1821,1.1609,1.1282,1.0643,0.9762,0.9017700000000001,0.76197,0.6361100000000001,0.46276000000000006,0.2946,0.11018,-0.06257599999999999,-0.21618,-0.35585,-0.48075,-0.5897399999999999,-0.66062,-0.69552,-0.73711,-0.76555,-0.78161,-0.78388,-0.7872899999999999,-0.78957,-0.79281,-0.79633,-0.80096,-0.79827,-0.80145,-0.7963100000000001,-0.80169,-0.80511,-0.81005,-0.82283,-0.82865,-0.8580399999999999,-0.8901399999999999,-0.97556,-1.0358,-1.122,-1.165,-1.171,-1.1603,-1.1434,-1.1244,-1.1091,-1.0964,-1.0928,-1.0809,-1.0771,-1.0714,-1.0706,-1.0688,-1.0717,-1.0674
1,-0.65325,-0.65384,-0.65578,-0.6595300000000001,-0.66189,-0.6632,-0.66622,-0.6691600000000001,-0.67196,-0.67291,-0.67614,-0.6785399999999999,-0.67992,-0.68124,-0.6808,-0.68176,-0.68216,-0.68282,-0.68365,-0.68343,-0.68367,-0.68362,-0.6824899999999999,-0.68307,-0.6831699999999999,-0.68183,-0.68186,-0.68189,-0.6825600000000001,-0.68229,-0.68074,-0.68028,-0.68004,-0.6763399999999999,-0.67633,-0.67178,-0.66904,-0.66656,-0.66081,-0.65684,-0.652,-0.63798,-0.61488,-0.5685100000000001,-0.48889,-0.37906,-0.2441,-0.10908,0.0034021999999999998,0.047381,0.31523,0.57277,0.71926,0.8398899999999999,1.0008,1.1818,1.3735,1.5826,1.7463,1.8614,1.9095,1.9255,1.9351,1.9413,1.9482,1.9578,1.9549,1.9679,1.9787,1.9824,1.9807,1.9846,1.9892,1.9856,1.9744,1.9602,1.9602,1.9295,1.8846,1.8393,1.7548,1.6569999999999998,1.5277,1.4115,1.2841,1.1526,1.0270000000000001,0.9168200000000001,0.80048,0.70635,0.59649,0.47728000000000004,0.3145,0.1746,0.043337,-0.095312,-0.19012,-0.30195,-0.40299,-0.50938,-0.59428,-0.64987,-0.68801,-0.69965,-0.69844,-0.6883199999999999,-0.67714,-0.6637,-0.6564800000000001,-0.65086,-0.6472899999999999,-0.64555,-0.64668,-0.64846,-0.64987,-0.6501600000000001,-0.6514,-0.64787,-0.64186,-0.6351,-0.62871,-0.62436,-0.62278,-0.6216,-0.62164,-0.6214,-0.62012,-0.6217,-0.62127,-0.6235,-0.6258100000000001,-0.62702,-0.6281800000000001,-0.62927,-0.63075,-0.62966,-0.63049,-0.62971,-0.62932,-0.6269899999999999,-0.62626,-0.62636,-0.62768,-0.6267,-0.62629,-0.62516,-0.62437,-0.6249,-0.62346,-0.62438
