t_stamp,shap.name,shap.Class,shap.subseq,shap.score
0,0,0.0,0,0.0
10,-8441242156700512418,2.0,"[ 0.78398  0.83387  0.81477  0.79566  0.74334  0.69102  0.84832  0.77547
  0.73727  0.80757  0.82353  0.74882  0.76331  0.7778   0.74097  0.81049
  0.75551  0.87577  0.75229  0.81317  0.79915  0.76979  0.75814  0.80027
  0.79588  0.78029  0.79934  0.77849  0.75765  0.75791  0.80957  0.73646
  0.73999  0.75806  0.77613  0.79582  0.81552  0.75653  0.74525  0.78879
  0.79997  0.72468  0.77954  0.76749  0.7949   0.79734  0.76833  0.76657
  0.80991  0.80416  0.84878  0.74702  0.77062  0.82901  0.75813  0.79399
  0.82984  0.82723  0.82462  0.84397  0.81686  0.82101  0.75743  0.78912
  0.77392  0.81947  0.8383   0.8273   0.80575  0.77951  0.75862  0.75891
  0.7592   0.86249  0.79759  0.85207  0.75837  0.80049  0.48282 -0.54699
 -1.6184  -1.9655  -1.9649  -1.9931  -2.0722  -1.962   -1.984   -2.0054
 -1.9713  -1.9708  -1.9283  -1.942   -1.9468  -1.9336  -1.9473  -1.9611
 -1.9068  -1.8822  -1.9875  -1.8836  -1.8723  -1.8953  -1.9105  -1.8417
 -1.8486  -1.8829  -1.8611  -1.7881  -1.8037  -1.7672  -1.7844  -1.7937
 -1.7312  -1.6964  -1.6697  -1.643   -1.6091  -1.6396  -1.6921  -1.5776
 -1.5619  -1.5814  -1.5515  -1.5189  -1.5237  -1.4914  -1.4618  -1.4838
 -1.3561  -1.3564  -1.3607  -1.3273  -1.3252  -1.268   -1.2029 ]",1.2236854417452916
10,-1940457171684095200,2.0,"[ 0.80114     0.80269     0.78573     0.82289     0.80322     0.72451
  0.79889     0.80934     0.78874     0.7748      0.74685     0.77256
  0.80416     0.75443     0.8076      0.81503     0.75615     0.73773
  0.80187     0.72524     0.77955     0.73518     0.79382     0.82429
  0.7167      0.74409     0.80054     0.78212     0.76371     0.77596
  0.76211     0.77429     0.77221     0.80545     0.76613     0.83305
  0.74612     0.81432     0.80606     0.72228     0.74811     0.78791
  0.80887     0.76908     0.7624      0.76897     0.75804     0.77855
  0.8232      0.78634     0.81076     0.82866     0.89408     0.76412
  0.83622     0.78177     0.8375      0.89322     0.84497     0.85753
  0.77197     0.864       0.77877     0.8519      0.85363     0.86667
  0.83981     0.83601     0.83221     0.80098     0.81495     0.56786
 -0.55752    -1.6131     -1.7441     -1.8751     -1.9329     -1.956
 -1.9188     -1.9348     -1.954      -1.9732     -1.9228     -1.9339
 -1.9329     -1.8774     -1.8725     -1.8893     -1.8716     -1.8887
 -1.9111     -1.8302     -1.9036     -1.8992     -1.8189     -1.8493
 -1.7733     -1.864      -1.8586     -1.7423     -1.6923     -1.7749
 -1.6811     -1.694      -1.7069     -1.7001     -1.6932     -1.6087
 -1.6841     -1.6409     -1.6358     -1.6173     -1.5929     -1.548
 -1.5723     -1.5685     -1.5652     -1.5619     -1.5282     -1.57986637
 -1.449921   -1.44172844 -1.37174029 -1.38791324 -1.33983066 -1.38779639
 -1.33084198 -1.30281368 -1.24898561 -1.22016276 -1.23288534 -1.15666033
 -1.13998765 -1.07915989 -1.08778309]",1.215880880226177
10,7606404702337739770,2.0,"[ 0.81729     0.81869     0.79472     0.77075     0.85342     0.7205
  0.84918     0.76073     0.80212     0.76668     0.78013     0.79358
  0.80967     0.77242     0.73675     0.77838     0.73091     0.79909
  0.84521     0.789       0.77124     0.78923     0.74983     0.81581
  0.76428     0.74489     0.80835     0.72017     0.78572     0.7103
  0.8137      0.75151     0.82992     0.71566     0.77086     0.7338
  0.80249     0.77372     0.74351     0.81726     0.7999      0.82772
  0.78433     0.76612     0.7827      0.79929     0.8093      0.80193
  0.79266     0.78977     0.83808     0.83232     0.82655     0.81635
  0.79827     0.79085     0.78934     0.77337     0.8871      0.82006
  0.79436     0.83507     0.81647     0.91756     0.81286     0.86322
  0.89207     0.80533     0.832       0.526      -0.613      -1.6629
 -1.9834     -1.946      -1.988      -1.96804804 -2.00203985 -1.96052577
 -1.87559353 -1.95765812 -1.90651694 -1.91763704 -1.94929731 -1.87277604
 -1.81156489 -1.94592319 -1.86568626 -1.88870438 -1.9024187  -1.88398738
 -1.88625037 -1.80909441 -1.87307364 -1.82156219 -1.77905013 -1.86460292
 -1.79329415 -1.76435971 -1.72479923 -1.82721766 -1.80526211 -1.77467576
 -1.6861     -1.6836     -1.6236     -1.6954     -1.7015     -1.6181
 -1.5948     -1.6038     -1.4891     -1.5672     -1.5055     -1.4976
 -1.4896     -1.512      -1.5005     -1.4594     -1.4457     -1.4374
 -1.4292     -1.2818     -1.3145     -1.3471     -1.2792     -1.2589
 -1.2459     -1.2531     -1.2603     -1.1414     -1.1403     -1.0917
 -1.0733     -1.0218     -1.0402    ]",1.2134971828312677
10,-4664748534876240523,2.0,"[ 0.75806     0.77613     0.79582     0.81552     0.75653     0.74525
  0.78879     0.79997     0.72468     0.77954     0.76749     0.7949
  0.79734     0.76833     0.76657     0.80991     0.80416     0.84878
  0.74702     0.77062     0.82901     0.75813     0.79399     0.82984
  0.82723     0.82462     0.84397     0.81686     0.82101     0.75743
  0.78912     0.77392     0.81947     0.8383      0.8273      0.80575
  0.77951     0.75862     0.75891     0.7592      0.86249     0.79759
  0.85207     0.75837     0.80049     0.48282    -0.54699    -1.6184
 -1.9655     -1.9649     -1.9931     -2.0722     -1.962      -1.984
 -2.0054     -1.9713     -1.9708     -1.9283     -1.942      -1.9468
 -1.9336     -1.9473     -1.9611     -1.9068     -1.8822     -1.9875
 -1.8836     -1.8723     -1.8953     -1.9105     -1.8417     -1.8486
 -1.8829     -1.8611     -1.7881     -1.8037     -1.7672     -1.7844
 -1.7937     -1.7312     -1.6964     -1.6697     -1.643      -1.6091
 -1.6396     -1.6921     -1.5776     -1.5619     -1.5814     -1.5515
 -1.5189     -1.5237     -1.4914     -1.4618     -1.4838     -1.3561
 -1.3564     -1.3607     -1.3273     -1.3252     -1.268      -1.2029
 -1.1924     -1.2151     -1.1475     -1.0851     -1.0997     -1.0157
 -0.98002    -1.0308     -0.94033    -0.89687    -0.8603     -0.84792
 -0.83555    -0.80614    -0.77672    -0.75347    -0.6613     -0.71526637
 -0.686121   -0.59765844 -0.58232029 -0.49765324 -0.52000066 -0.51540639
 -0.46361198 -0.40157368 -0.40666561 -0.30604276 -0.35084534 -0.32663033
 -0.27625765 -0.19265989 -0.18247309]",1.2073057510795122
10,2048700158422615609,2.0,"[ 0.82255     0.76049     0.76342     0.7515      0.78494     0.79303
  0.81729     0.81869     0.79472     0.77075     0.85342     0.7205
  0.84918     0.76073     0.80212     0.76668     0.78013     0.79358
  0.80967     0.77242     0.73675     0.77838     0.73091     0.79909
  0.84521     0.789       0.77124     0.78923     0.74983     0.81581
  0.76428     0.74489     0.80835     0.72017     0.78572     0.7103
  0.8137      0.75151     0.82992     0.71566     0.77086     0.7338
  0.80249     0.77372     0.74351     0.81726     0.7999      0.82772
  0.78433     0.76612     0.7827      0.79929     0.8093      0.80193
  0.79266     0.78977     0.83808     0.83232     0.82655     0.81635
  0.79827     0.79085     0.78934     0.77337     0.8871      0.82006
  0.79436     0.83507     0.81647     0.91756     0.81286     0.86322
  0.89207     0.80533     0.832       0.526      -0.613      -1.6629
 -1.9834     -1.946      -1.988      -1.96804804 -2.00203985 -1.96052577
 -1.87559353 -1.95765812 -1.90651694 -1.91763704 -1.94929731 -1.87277604
 -1.81156489 -1.94592319 -1.86568626 -1.88870438 -1.9024187  -1.88398738
 -1.88625037 -1.80909441 -1.87307364 -1.82156219 -1.77905013 -1.86460292
 -1.79329415 -1.76435971 -1.72479923 -1.82721766 -1.80526211 -1.77467576]",1.1829389207860188
10,-8328744462476043760,2.0,"[ 0.78398  0.83387  0.81477  0.79566  0.74334  0.69102  0.84832  0.77547
  0.73727  0.80757  0.82353  0.74882  0.76331  0.7778   0.74097  0.81049
  0.75551  0.87577  0.75229  0.81317  0.79915  0.76979  0.75814  0.80027
  0.79588  0.78029  0.79934  0.77849  0.75765  0.75791  0.80957  0.73646
  0.73999  0.75806  0.77613  0.79582  0.81552  0.75653  0.74525  0.78879
  0.79997  0.72468  0.77954  0.76749  0.7949   0.79734  0.76833  0.76657
  0.80991  0.80416  0.84878  0.74702  0.77062  0.82901  0.75813  0.79399
  0.82984  0.82723  0.82462  0.84397  0.81686  0.82101  0.75743  0.78912
  0.77392  0.81947  0.8383   0.8273   0.80575  0.77951  0.75862  0.75891
  0.7592   0.86249  0.79759  0.85207  0.75837  0.80049  0.48282 -0.54699
 -1.6184  -1.9655  -1.9649  -1.9931  -2.0722  -1.962   -1.984   -2.0054
 -1.9713  -1.9708  -1.9283  -1.942   -1.9468  -1.9336  -1.9473  -1.9611
 -1.9068  -1.8822  -1.9875  -1.8836  -1.8723  -1.8953  -1.9105  -1.8417
 -1.8486  -1.8829  -1.8611  -1.7881 ]",1.1828131776834903
10,-2417955674535545446,2.0,"[ 0.77849  0.75765  0.75791  0.80957  0.73646  0.73999  0.75806  0.77613
  0.79582  0.81552  0.75653  0.74525  0.78879  0.79997  0.72468  0.77954
  0.76749  0.7949   0.79734  0.76833  0.76657  0.80991  0.80416  0.84878
  0.74702  0.77062  0.82901  0.75813  0.79399  0.82984  0.82723  0.82462
  0.84397  0.81686  0.82101  0.75743  0.78912  0.77392  0.81947  0.8383
  0.8273   0.80575  0.77951  0.75862  0.75891  0.7592   0.86249  0.79759
  0.85207  0.75837  0.80049  0.48282 -0.54699 -1.6184  -1.9655  -1.9649
 -1.9931  -2.0722  -1.962   -1.984   -2.0054  -1.9713  -1.9708  -1.9283
 -1.942   -1.9468  -1.9336  -1.9473  -1.9611  -1.9068  -1.8822  -1.9875
 -1.8836  -1.8723  -1.8953  -1.9105  -1.8417  -1.8486  -1.8829  -1.8611
 -1.7881  -1.8037  -1.7672  -1.7844  -1.7937  -1.7312  -1.6964  -1.6697
 -1.643   -1.6091  -1.6396  -1.6921  -1.5776  -1.5619  -1.5814  -1.5515
 -1.5189  -1.5237  -1.4914  -1.4618  -1.4838  -1.3561  -1.3564  -1.3607
 -1.3273  -1.3252  -1.268   -1.2029 ]",1.1805590077691237
10,-9011724295495482766,2.0,"[ 0.65134  0.77459  0.794    0.7054   0.75069  0.80349  0.80114  0.80269
  0.78573  0.82289  0.80322  0.72451  0.79889  0.80934  0.78874  0.7748
  0.74685  0.77256  0.80416  0.75443  0.8076   0.81503  0.75615  0.73773
  0.80187  0.72524  0.77955  0.73518  0.79382  0.82429  0.7167   0.74409
  0.80054  0.78212  0.76371  0.77596  0.76211  0.77429  0.77221  0.80545
  0.76613  0.83305  0.74612  0.81432  0.80606  0.72228  0.74811  0.78791
  0.80887  0.76908  0.7624   0.76897  0.75804  0.77855  0.8232   0.78634
  0.81076  0.82866  0.89408  0.76412  0.83622  0.78177  0.8375   0.89322
  0.84497  0.85753  0.77197  0.864    0.77877  0.8519   0.85363  0.86667
  0.83981  0.83601  0.83221  0.80098  0.81495  0.56786 -0.55752 -1.6131
 -1.7441  -1.8751  -1.9329  -1.956   -1.9188  -1.9348  -1.954   -1.9732
 -1.9228  -1.9339  -1.9329  -1.8774  -1.8725  -1.8893  -1.8716  -1.8887
 -1.9111  -1.8302  -1.9036  -1.8992  -1.8189  -1.8493  -1.7733  -1.864
 -1.8586  -1.7423  -1.6923  -1.7749 ]",1.1797672214980963
10,-6112085687847107944,2.0,"[ 0.73518     0.79382     0.82429     0.7167      0.74409     0.80054
  0.78212     0.76371     0.77596     0.76211     0.77429     0.77221
  0.80545     0.76613     0.83305     0.74612     0.81432     0.80606
  0.72228     0.74811     0.78791     0.80887     0.76908     0.7624
  0.76897     0.75804     0.77855     0.8232      0.78634     0.81076
  0.82866     0.89408     0.76412     0.83622     0.78177     0.8375
  0.89322     0.84497     0.85753     0.77197     0.864       0.77877
  0.8519      0.85363     0.86667     0.83981     0.83601     0.83221
  0.80098     0.81495     0.56786    -0.55752    -1.6131     -1.7441
 -1.8751     -1.9329     -1.956      -1.9188     -1.9348     -1.954
 -1.9732     -1.9228     -1.9339     -1.9329     -1.8774     -1.8725
 -1.8893     -1.8716     -1.8887     -1.9111     -1.8302     -1.9036
 -1.8992     -1.8189     -1.8493     -1.7733     -1.864      -1.8586
 -1.7423     -1.6923     -1.7749     -1.6811     -1.694      -1.7069
 -1.7001     -1.6932     -1.6087     -1.6841     -1.6409     -1.6358
 -1.6173     -1.5929     -1.548      -1.5723     -1.5685     -1.5652
 -1.5619     -1.5282     -1.57986637 -1.449921   -1.44172844 -1.37174029
 -1.38791324 -1.33983066 -1.38779639 -1.33084198 -1.30281368 -1.24898561]",1.1765666333472202
