t_stamp,shap.name,shap.Class,shap.subseq,shap.score
0,0,0.0,0,0.0
10,4447450356215481808,1.0,"[ 0.613     0.53934   0.67974   0.59805   0.5599    0.51803   0.55874
  0.43255   0.4608    0.56034   0.53284   0.41778   0.50559   0.3863
  0.40434   0.464     0.40629   0.50318   0.42061   0.465     0.42977
  0.49708   0.49674   0.57921   0.97975   1.2233    1.28      1.3952
  1.6606    1.9279    1.9147    1.8015    1.6786    1.4401    1.274
  1.0705    0.66184   0.3534    0.036911 -0.14405  -0.1815   -0.11408
 -0.14381  -0.085822 -0.10484  -0.17324  -0.21514  -0.13869  -0.13822
 -0.15056  -0.11212  -0.10944  -0.074525  0.01459   0.20798   0.78341
  1.1792    1.1937    1.186     0.98719   0.68892   0.77437   0.82394 ]",0.6938699942202493
10,7832656574371253646,1.0,"[ 0.56034   0.53284   0.41778   0.50559   0.3863    0.40434   0.464
  0.40629   0.50318   0.42061   0.465     0.42977   0.49708   0.49674
  0.57921   0.97975   1.2233    1.28      1.3952    1.6606    1.9279
  1.9147    1.8015    1.6786    1.4401    1.274     1.0705    0.66184
  0.3534    0.036911 -0.14405  -0.1815   -0.11408  -0.14381  -0.085822
 -0.10484  -0.17324  -0.21514  -0.13869  -0.13822  -0.15056  -0.11212
 -0.10944  -0.074525  0.01459   0.20798   0.78341   1.1792    1.1937  ]",0.6749651639383042
10,1661486045545136987,1.0,"[ 0.41887  0.32594  0.35595  0.31694  0.23278  0.34233  0.43984  0.4218
  0.47839  0.22331  0.2984   0.4439   0.43982  0.7158   0.94287  1.0702
  0.99839  1.1303   1.4528   1.6699   1.6163   1.3437   1.1234   0.83784
  0.83842  0.71545  0.56505  0.24295 -0.11339 -0.23253 -0.27775 -0.22476
 -0.27232 -0.41553 -0.34502 -0.29844 -0.29279 -0.41429 -0.46138 -0.48242
 -0.48941 -0.49969 -0.31341 -0.28052 -0.24666  0.35095  1.0951   1.3904
  1.4122 ]",0.6690350431724921
10,-6511469581129517548,1.0,"[-0.37818  -0.22328  -0.34046  -0.46756  -0.26919  -0.26093  -0.32824
 -0.26778  -0.41087  -0.010633  0.46954   1.031     0.94632   0.7997
  0.47051   0.37472   0.12259   0.23883   0.34121  -0.11777  -0.5583
 -1.1026   -1.2563   -1.1823   -1.2108   -0.97312  -1.201    -1.2717
 -1.1749   -1.0787   -1.0606   -1.2793   -1.1854   -0.99547  -0.89017 ]",0.6572788957871585
10,715927639691360762,1.0,"[ 0.56034   0.53284   0.41778   0.50559   0.3863    0.40434   0.464
  0.40629   0.50318   0.42061   0.465     0.42977   0.49708   0.49674
  0.57921   0.97975   1.2233    1.28      1.3952    1.6606    1.9279
  1.9147    1.8015    1.6786    1.4401    1.274     1.0705    0.66184
  0.3534    0.036911 -0.14405  -0.1815   -0.11408  -0.14381  -0.085822
 -0.10484  -0.17324  -0.21514  -0.13869  -0.13822  -0.15056  -0.11212
 -0.10944  -0.074525  0.01459   0.20798   0.78341   1.1792    1.1937
  1.186     0.98719   0.68892   0.77437   0.82394   1.1172   -1.6405  ]",0.6510334341881658
10,-4430162410606912784,1.0,"[ 0.59914    0.59712    0.62974    0.62804    0.7602     0.99695
  1.0405     1.1534     1.2495     1.4372     1.7353     1.8684
  1.9493     1.9074     1.8881     1.6839     1.6035     1.431
  1.1941     1.005      0.71095    0.30725    0.053305   0.0055613
 -0.010828  -0.10821   -0.11301   -0.15382   -0.22032   -0.18798
 -0.13338   -0.095583  -0.076358  -0.070357  -0.12765  ]",0.6500870752665036
10,-4021141707946255463,1.0,"[ 0.56547  0.61787  0.73486  0.5158   0.53439  0.58824  0.53397  0.60996
  0.60312  0.41887  0.32594  0.35595  0.31694  0.23278  0.34233  0.43984
  0.4218   0.47839  0.22331  0.2984   0.4439   0.43982  0.7158   0.94287
  1.0702   0.99839  1.1303   1.4528   1.6699   1.6163   1.3437   1.1234
  0.83784  0.83842  0.71545  0.56505  0.24295 -0.11339 -0.23253 -0.27775
 -0.22476 -0.27232 -0.41553 -0.34502 -0.29844 -0.29279 -0.41429 -0.46138
 -0.48242 -0.48941 -0.49969 -0.31341 -0.28052 -0.24666  0.35095  1.0951
  1.3904   1.4122   1.3794   1.3878   0.69148  0.54173  0.98802]",0.6409674155333508
10,-5929643124894277842,1.0,"[ 0.0046144 -0.20377   -0.24665   -0.34642   -0.088971  -0.42669
 -0.37818   -0.22328   -0.34046   -0.46756   -0.26919   -0.26093
 -0.32824   -0.26778   -0.41087   -0.010633   0.46954    1.031
  0.94632    0.7997     0.47051    0.37472    0.12259    0.23883
  0.34121   -0.11777   -0.5583    -1.1026    -1.2563    -1.1823
 -1.2108    -0.97312   -1.201     -1.2717    -1.1749    -1.0787
 -1.0606    -1.2793    -1.1854    -0.99547   -0.89017   -0.10401  ]",0.6280984240003062
10,-7578138741266137956,1.0,"[ 0.41887  0.32594  0.35595  0.31694  0.23278  0.34233  0.43984  0.4218
  0.47839  0.22331  0.2984   0.4439   0.43982  0.7158   0.94287  1.0702
  0.99839  1.1303   1.4528   1.6699   1.6163   1.3437   1.1234   0.83784
  0.83842  0.71545  0.56505  0.24295 -0.11339 -0.23253 -0.27775 -0.22476
 -0.27232 -0.41553 -0.34502 -0.29844 -0.29279 -0.41429 -0.46138 -0.48242
 -0.48941 -0.49969 -0.31341 -0.28052 -0.24666  0.35095  1.0951   1.3904
  1.4122   1.3794   1.3878   0.69148  0.54173  0.98802  0.94278 -1.4709 ]",0.6079738888439719
