shap.name,shap.Class,shap.subseq,shap.score,shap.thresh
0,0.0,0,0.0,0.0
715907460290043025,1.0,"[ 0.80281  0.3256   0.34548  0.38525  0.52444  0.74316  1.2204   1.1408
  0.54432  0.26595 -0.27092]",0.4497677653674249,1.8761870780430652
-4513349567442282463,1.0,"[ 0.7896   0.36268  0.41012  0.33896  0.50499  0.33896  0.52871  1.43
  0.81332  0.50499 -0.0168 ]",0.4487366303701203,2.1966427666252004
-4423761400776789084,1.0,"[ 0.45499   0.45499   0.57936   0.43012   0.45499   1.45      0.95248
  0.75348   0.057004 -0.41561 ]",0.4448110930196132,1.7947783782064757
-8829773321846541089,1.0,"[0.77087  0.37225  0.37225  0.55984  0.53639  0.39569  0.46604  1.404
 0.88812  0.55984  0.067415]",0.4416801587040194,2.233522315287601
5144858834592049955,1.0,"[ 0.38724  0.58187  0.55754  0.38724  0.31425  1.3361   1.1171   0.70351
  0.07096 -0.29398]",0.44129426431733826,1.8872016739283448
-674000286418812126,1.0,"[0.37225  0.55984  0.53639  0.39569  0.46604  1.404    0.88812  0.55984
 0.067415]",0.4393886426208795,1.870922734668152
-524766738179147797,1.0,"[ 0.64732   0.50754   0.60738   0.62735   0.68726   0.7272    1.0667
  0.96682   0.58742   0.36776  -0.071555]",0.4353633752425927,1.8417275793164005
-6679818568015260597,1.0,"[ 0.41012  0.33896  0.50499  0.33896  0.52871  1.43     0.81332  0.50499
 -0.0168  -0.44372]",0.4264658733579567,1.772989633749437
3575451978395637631,1.0,"[ 0.37225   0.55984   0.53639   0.39569   0.46604   1.404     0.88812
  0.55984   0.067415 -0.49535 ]",0.4260062218260081,1.7940349553224506
-2257448147038539201,1.0,"[0.45499  0.45499  0.57936  0.43012  0.45499  1.45     0.95248  0.75348
 0.057004]",0.4169655017659882,1.8264590775073437
7703025326955594318,2.0,"[1.3286  1.2751  0.90024 0.65928 0.71283 0.71283 0.63251 0.36478 0.28446
 0.12382 0.31123]",0.5028319069773006,1.8507448105116373
-6283296857442334551,2.0,"[1.3976    1.3976    1.1663    0.75504   0.65222   0.70363   0.67793
 0.42089   0.29238   0.086749  0.0096387]",0.5024349588095609,1.7044278410326539
7556953447408530637,2.0,"[1.3743  1.23    0.98963 0.77327 0.65307 0.41268 0.67711 0.4848  0.2444
 0.19632 0.14824]",0.5015471025206604,1.8402056462070993
-1508757618243250394,2.0,"[ 1.4618    1.4071    1.2977    0.69615   0.69615   0.83287   0.86021
  0.45005   0.36801   0.25863  -0.014812]",0.498000555484191,1.7812341087974624
-3966109710837503544,2.0,"[1.3023  1.2494  0.9321  0.72056 0.747   0.82633 0.85277 0.61479 0.50902
 0.40325]",0.49701982473171186,1.4142941901795045
7800918744693745712,2.0,"[1.3445  1.2007  0.99938 0.65427 0.74055 0.88434 0.88434 0.68303 0.62551
 0.4242 ]",0.4950048204707651,1.568287288096426
-7259878664250293019,2.0,"[1.2176  1.2455  0.99499 0.60534 0.661   0.71667 0.91149 0.52185 0.46618
 0.27136]",0.48572201534864484,1.5294840253225126
-3781800081407932088,2.0,"[1.1886  1.1886  0.88189 0.57514 0.60303 0.63092 0.88189 0.49149 0.2684
 0.35206]",0.47592269853363833,1.543588138019507
6221497325034070563,2.0,"[1.4618  1.4071  1.2977  0.69615 0.69615 0.83287 0.86021 0.45005 0.36801
 0.25863]",0.45962021316210505,1.4352626821857972
-2735065766375951791,2.0,[ 0.33709   0.090272  0.1177    0.44679  -0.019426],0.42684496377015324,1.3066307854781811
