shap.name,shap.Class,shap.subseq,shap.score,shap.thresh
0,0.0,0,0.0,0.0
5406228312842355295,1.0,"[-1.4502  -1.5111  -1.5375  -1.5927  -1.6312  -1.6804  -1.692   -1.7561
 -1.8353  -1.8377  -1.8233  -1.4494  -0.90345 -0.46778 -0.09407  0.2806 ]",0.6423111257096978,4.4857557
8922375431430567103,1.0,"[-1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125
 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125]",0.5792620373745166,4.44460799
8102559057942768412,1.0,"[-1.6636   -1.6259   -1.5211   -1.303    -0.90455  -0.53805  -0.28647
  0.003158  0.25862   0.5071    0.71986   0.89223 ]",0.5092986540239152,3.66351239
6230900424555834994,1.0,"[ 1.3879    1.6511    1.2782    0.96503  -7.2174    0.68803   0.60796
  0.56644   0.58126   0.55309   0.58296   0.58868   0.59609   0.59016
  0.56742   0.50515   0.45967   0.47806   0.42458   0.32325   0.15243
 -0.063559 -0.21255  -0.3035    0.19191   0.29275   0.34006   0.35488 ]",0.5015602019007425,6.216479805
-7140230640982337209,1.0,"[-0.78653 -0.81759 -0.84554 -0.87549 -0.91143 -0.9263  -0.94538 -0.95669
 -0.97692 -0.969    0.38441  0.33876]",0.48581742797330446,3.146860335
1717607060306650014,1.0,"[-1.5141   -1.5034   -1.5444   -1.5876   -1.6176   -1.6399   -1.6636
 -1.6259   -1.5211   -1.303    -0.90455  -0.53805  -0.28647   0.003158
  0.25862   0.5071    0.71986   0.89223   1.0693    1.2137  ]",0.4775089426481225,4.554215925
2362875935347988767,1.0,"[-0.65535  -0.69188  -0.72979  -0.76583  -0.81045  -0.85717  -0.89659
 -0.93707  -0.96737  -0.99736  -1.0361   -1.0585   -1.0848   -1.1164
 -1.1416   -1.1641   -1.1519   -1.045    -0.82806  -0.53709  -0.27085
 -0.030895  0.22903   0.47759 ]",0.4646975801840097,5.820948995
716221302269964104,1.0,"[-0.030024 -0.091668 -0.12289  -0.15651  -0.21175  -0.2718   -0.30542
 -0.34289  -0.35346  -0.43031  -0.49756  -0.57922  -0.62245  -0.62085
 -0.66088  -0.67048  -0.73293  -0.74134  -0.84941  -0.88744  -0.88344
 -0.89304  -0.86382  -0.87343 ]",0.4480420237490484,6.038646225
-4147590198929440013,1.0,"[-1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125
 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125 -1.0125
 -1.0125 -1.0125]",0.43822109683887667,4.687948355
284870640646752375,1.0,"[ 0.097964 -0.016712 -0.11628  -0.17301  -0.23283  -0.28558  -0.32353
 -0.35247  -0.38849  -0.42117  -0.4779   -0.53     -0.55977  -0.59818
 -0.60057  -0.6535   -0.74805  -0.096471  0.32098   0.39816 ]",0.4298421977609653,4.82614339
