shap.name,shap.Class,shap.subseq,shap.score,shap.thresh
0,0.0,0,0.0,0.0
-8875453497626187543,1.0,"[ 0.026081  0.026081  0.30868   0.30868  -0.53909  -1.6695   -0.82172
  0.87385   1.439     0.30868   0.30868   1.1564    1.1564    0.026081
 -0.2565   -0.2565   -0.2565    0.026081  0.026081 -0.82172  -0.2565
 -0.53909  -0.53909  -0.53909   0.026081]",0.0,4.4990000000000006
-8875453497626187543,1.0,"[ 0.026081  0.026081  0.30868   0.30868  -0.53909  -1.6695   -0.82172
  0.87385   1.439     0.30868   0.30868   1.1564    1.1564    0.026081
 -0.2565   -0.2565   -0.2565    0.026081  0.026081 -0.82172  -0.2565
 -0.53909  -0.53909  -0.53909 ]",0.0,4.406499999999999
-2888666328932640067,1.0,"[-0.39112   0.23921   0.44931   0.23921   0.44931   0.029089 -0.60127
 -0.18102   1.2897    1.9201    0.86953  -1.8619   -1.8619   -0.81129
  0.23921   1.9201    2.5504  ]",0.0,2.769
-7757141312007683816,1.0,"[ 1.9808    1.0091   -1.906    -1.906     0.76617   1.7379    0.037369
 -2.392    -1.4202   -0.93429  -0.44849   0.52324   0.28031  -0.20556 ]",0.0,3.23
-2888666328932640067,1.0,"[ 0.44931   0.23921   0.44931   0.029089 -0.60127  -0.18102   1.2897
  1.9201    0.86953  -1.8619   -1.8619   -0.81129   0.23921   1.9201
  2.5504  ]",0.0,2.542
-7757141312007683816,1.0,"[ 1.9808    1.0091   -1.906    -1.906     0.76617   1.7379    0.037369
 -2.392    -1.4202   -0.93429  -0.44849   0.52324   0.28031  -0.20556 ]",0.0,3.23
5942355180017133946,1.0,"[ 0.0075404  0.49808    0.0075404 -0.23772    0.0075404  0.25282
  0.25282   -0.23772    0.0075404 -0.23772    0.0075404  0.25282
  0.25282    0.0075404]",0.0,3.637
-7757141312007683816,1.0,"[ 1.9808    1.0091   -1.906    -1.906     0.76617   1.7379    0.037369
 -2.392    -1.4202   -0.93429  -0.44849   0.52324   0.28031 ]",0.0,2.976
-7757141312007683816,1.0,[-0.44849 -0.69146 -0.93429 -0.69146 -0.44849 -0.44849 -0.69146],0.0,1.3159999999999998
-5673846108160645065,1.0,[ 0.2102    0.023032 -0.16413   0.023032  0.2102    0.2102    0.023032],0.0,1.3155000000000001
-2666989765276477019,2.0,"[-0.6966    1.0642    1.5673    0.81266  -0.19349   0.56112   1.3157
  1.8188    1.5673    0.81266  -0.44502  -1.4512   -1.9542   -1.1996
 -0.44502   0.058044  0.058044 -0.19349  -0.19349  -0.19349   0.058044
  0.30959   0.30959 ]",0.0,3.786
3267334146547867309,2.0,"[-0.74135   0.54022   1.8217    1.3091    0.027599  0.28392   1.0528
  1.3091    1.3091    0.54022  -0.485    -0.99755  -1.5102   -1.2539
 -0.485    -0.2287    0.027599 -0.2287   -0.2287   -0.2287    0.28392
  0.54022   0.54022 ]",0.0,3.993
-2666989765276477019,2.0,"[-0.6966    1.0642    1.5673    0.81266  -0.19349   0.56112   1.3157
  1.8188    1.5673    0.81266  -0.44502  -1.4512   -1.9542   -1.1996
 -0.44502   0.058044  0.058044 -0.19349  -0.19349  -0.19349   0.058044
  0.30959   0.30959 ]",0.0,3.786
3267334146547867309,2.0,"[-0.74135   0.54022   1.8217    1.3091    0.027599  0.28392   1.0528
  1.3091    1.3091    0.54022  -0.485    -0.99755  -1.5102   -1.2539
 -0.485    -0.2287    0.027599 -0.2287   -0.2287   -0.2287    0.28392
  0.54022   0.54022 ]",0.0,3.993
-2666989765276477019,2.0,"[-0.6966    1.0642    1.5673    0.81266  -0.19349   0.56112   1.3157
  1.8188    1.5673    0.81266  -0.44502  -1.4512   -1.9542   -1.1996
 -0.44502   0.058044  0.058044 -0.19349  -0.19349  -0.19349   0.058044
  0.30959   0.30959 ]",0.0,3.786
3267334146547867309,2.0,"[-0.74135   0.54022   1.8217    1.3091    0.027599  0.28392   1.0528
  1.3091    1.3091    0.54022  -0.485    -0.99755  -1.5102   -1.2539
 -0.485    -0.2287    0.027599 -0.2287   -0.2287   -0.2287    0.28392
  0.54022   0.54022 ]",0.0,3.993
-2666989765276477019,2.0,"[-0.6966    1.0642    1.5673    0.81266  -0.19349   0.56112   1.3157
  1.8188    1.5673    0.81266  -0.44502  -1.4512   -1.9542   -1.1996
 -0.44502   0.058044  0.058044 -0.19349  -0.19349  -0.19349   0.058044
  0.30959   0.30959 ]",0.0,3.786
3267334146547867309,2.0,"[-0.74135   0.54022   1.8217    1.3091    0.027599  0.28392   1.0528
  1.3091    1.3091    0.54022  -0.485    -0.99755  -1.5102   -1.2539
 -0.485    -0.2287    0.027599 -0.2287   -0.2287   -0.2287    0.28392
  0.54022   0.54022 ]",0.0,3.993
-2666989765276477019,2.0,"[-0.6966    1.0642    1.5673    0.81266  -0.19349   0.56112   1.3157
  1.8188    1.5673    0.81266  -0.44502  -1.4512   -1.9542   -1.1996
 -0.44502   0.058044  0.058044 -0.19349  -0.19349  -0.19349   0.058044
  0.30959   0.30959 ]",0.0,3.786
3267334146547867309,2.0,"[-0.74135   0.54022   1.8217    1.3091    0.027599  0.28392   1.0528
  1.3091    1.3091    0.54022  -0.485    -0.99755  -1.5102   -1.2539
 -0.485    -0.2287    0.027599 -0.2287   -0.2287   -0.2287    0.28392
  0.54022   0.54022 ]",0.0,3.993
