Drift,t_stamp,LossThresh_0.5,t_stamp,LossThresh_0.5
0.0,0,0,0.0,0.0
,3,0,10.0,0.0
,4,0,15.0,0.0
,5,0,20.0,0.0
,6,0,25.0,0.0
,7,0,30.0,0.0
,8,0,35.0,0.0
,9,0,40.0,0.0
,10,0,45.0,0.0
,11,0,50.0,0.0
,12,0,55.0,0.0
,13,0,60.0,0.0
,14,0,65.0,0.0
,15,0,70.0,0.0
,16,0,75.0,0.0
,17,0,80.0,0.0
,18,0,85.0,0.0
,19,0,90.0,0.0
,20,0,95.0,0.0
,21,0,100.0,0.0
,22,0,105.0,0.0
,23,0,110.0,0.0
,24,0,115.0,0.0
,25,0,120.0,0.0
,26,0,125.0,0.0
,27,0,130.0,0.0
,28,0,135.0,0.0
,29,0,140.0,0.0
,30,0,145.0,0.0
,31,0,150.0,0.0
,32,0,155.0,0.0
,33,0,160.0,0.0
,34,0,165.0,0.0
,35,0,170.0,0.0
,36,0,175.0,0.0
,37,0,180.0,0.0
,38,0,185.0,0.0
,39,0,190.0,0.0
,40,0,195.0,0.0
,41,0,200.0,0.0
,42,0,205.0,0.0
,43,0,210.0,0.0
,44,0,215.0,0.0
,45,0,220.0,0.0
,46,0,225.0,0.0
,47,0,230.0,0.0
,48,0,235.0,0.0
,49,0,240.0,0.0
,50,0,245.0,0.0
,51,0,250.0,0.0
,52,0,255.0,0.0
,53,0,260.0,0.0
,54,0,265.0,0.0
,55,0,270.0,0.0
,56,0,275.0,0.0
,57,0,280.0,0.0
,58,0,285.0,0.0
,59,0,290.0,0.0
,60,0,295.0,0.0
,61,0,300.0,0.0
,62,0,305.0,0.0
,63,0,310.0,0.0
,64,0,315.0,0.0
,65,0,320.0,0.0
,66,0,325.0,0.0
,67,0,330.0,0.0
,68,0,335.0,0.0
,69,0,340.0,0.0
,70,0,345.0,1.0
,71,0,350.0,1.0
,72,0,355.0,1.0
,73,0,360.0,1.0
,74,0,365.0,1.0
,75,0,370.0,1.0
,76,0,375.0,1.0
,77,0,380.0,1.0
,78,0,385.0,0.0
,79,0,390.0,0.0
,80,0,395.0,0.0
,81,0,400.0,0.0
,82,0,405.0,0.0
,83,0,410.0,0.0
,84,0,415.0,0.0
,85,0,420.0,0.0
,86,0,425.0,0.0
,87,0,430.0,0.0
,88,0,435.0,0.0
,89,0,440.0,0.0
,90,0,445.0,0.0
,91,0,450.0,0.0
,92,0,455.0,0.0
,93,0,460.0,0.0
,94,0,465.0,0.0
,95,0,470.0,0.0
,96,0,475.0,0.0
,97,0,480.0,0.0
,98,0,485.0,0.0
,99,0,490.0,0.0
,100,0,495.0,0.0
,101,0,500.0,0.0
,102,0,505.0,0.0
,103,1,510.0,0.0
,104,1,515.0,0.0
,105,1,520.0,0.0
,106,1,525.0,0.0
,107,1,530.0,0.0
,108,1,535.0,0.0
,109,1,540.0,0.0
,110,1,545.0,0.0
,111,1,550.0,0.0
,112,1,555.0,0.0
,113,1,560.0,0.0
,114,1,565.0,0.0
,115,1,570.0,0.0
,116,1,575.0,0.0
,117,1,580.0,0.0
,118,1,585.0,0.0
,119,1,590.0,0.0
,120,0,595.0,0.0
,121,0,600.0,0.0
,122,0,605.0,0.0
,123,0,610.0,0.0
,124,0,615.0,0.0
,125,0,620.0,0.0
,126,0,625.0,0.0
,127,0,630.0,0.0
,128,0,635.0,0.0
,129,0,640.0,0.0
,130,0,645.0,0.0
,131,0,650.0,0.0
,132,0,655.0,0.0
,133,0,660.0,0.0
,134,0,665.0,0.0
,135,0,670.0,1.0
,136,0,675.0,1.0
,137,0,680.0,1.0
,138,0,685.0,1.0
,139,0,690.0,1.0
,140,0,695.0,1.0
,141,0,700.0,1.0
,142,0,705.0,1.0
,143,0,710.0,1.0
,144,0,715.0,1.0
,145,0,720.0,1.0
,146,0,725.0,1.0
,147,0,730.0,1.0
,148,0,735.0,1.0
,149,0,740.0,1.0
,150,0,745.0,1.0
,151,0,750.0,1.0
,152,0,755.0,1.0
,153,0,760.0,1.0
,154,0,765.0,1.0
,155,0,770.0,1.0
,156,0,775.0,1.0
,157,0,780.0,1.0
,158,0,785.0,1.0
,159,0,790.0,1.0
,160,0,795.0,0.0
,161,0,800.0,0.0
,162,0,805.0,0.0
,163,0,810.0,0.0
,164,0,815.0,0.0
,165,0,820.0,0.0
,166,0,825.0,0.0
,167,0,830.0,0.0
,168,0,835.0,0.0
,169,0,840.0,0.0
,170,0,845.0,0.0
,171,0,850.0,0.0
,172,0,855.0,0.0
,173,0,860.0,0.0
,174,0,865.0,0.0
,175,0,870.0,0.0
,176,0,875.0,0.0
,177,0,880.0,0.0
,178,0,885.0,0.0
,179,0,890.0,0.0
,180,0,895.0,0.0
,181,0,900.0,0.0
,182,0,905.0,0.0
,183,0,910.0,0.0
,184,0,915.0,0.0
,185,0,920.0,0.0
,186,0,925.0,0.0
,187,0,930.0,0.0
,188,0,935.0,0.0
,189,0,940.0,0.0
,190,0,945.0,0.0
,191,0,950.0,0.0
,192,0,955.0,0.0
,193,0,960.0,0.0
,194,0,965.0,0.0
,195,0,970.0,0.0
,196,0,975.0,0.0
,197,0,980.0,0.0
,198,0,985.0,0.0
,199,0,990.0,0.0
,200,0,995.0,0.0
,201,0,1000.0,0.0
,202,0,,
,203,0,,
,204,1,,
,205,1,,
,206,1,,
,207,1,,
,208,0,,
,209,1,,
,210,1,,
,211,1,,
,212,1,,
,213,1,,
,214,1,,
,215,1,,
,216,1,,
,217,1,,
,218,1,,
,219,1,,
,220,1,,
,221,0,,
,222,0,,
,223,0,,
,224,0,,
,225,0,,
,226,0,,
,227,0,,
,228,0,,
,229,0,,
,230,0,,
,231,0,,
,232,0,,
