t_stamp,shap.name,shap.Class,shap.subseq,shap.score
0,0,0.0,0,0.0
10,-7259879884435914824,1.0,"[ 0.6912     0.65239    0.67052    0.70866    0.6838     0.71959
  0.6794     0.68122    0.68305    0.76557    0.67302    1.0421
  2.2411     3.4884     3.8075     3.8051     3.1958     1.018
 -1.1243    -1.6616    -1.8348    -1.8169    -1.8126    -1.8084
 -1.8066    -1.7516    -1.8215    -1.7863    -1.801     -1.8115
 -1.7764    -1.7104    -1.8137    -1.7492    -1.7634    -1.7363
 -1.7788    -1.7444    -1.7811    -1.8177    -1.6675    -1.6998
 -1.603     -1.6444    -1.6514    -1.6711    -1.6429    -1.6274
 -1.5863    -1.6314    -1.6001    -1.5759    -1.5517    -1.5363
 -1.5266    -1.5213    -1.5159    -1.5152    -1.5456    -1.4829
 -1.4608    -1.4432    -1.4263    -1.3578    -1.3822    -1.3546
 -1.3188    -1.3028    -1.35      -1.2134    -1.2529    -1.243
 -1.1754    -1.1385    -1.0718    -1.1182    -1.0372    -1.0472
 -1.0387    -1.0032    -0.96126   -0.92831   -0.89537   -0.87201
 -0.88825   -0.80337   -0.81199   -0.71692   -0.70803   -0.6895
 -0.58493   -0.60465   -0.62437   -0.55939   -0.63393   -0.57506
 -0.57883   -0.47152   -0.47207   -0.45468   -0.43763   -0.36484
 -0.33444   -0.31187   -0.26825   -0.21491   -0.21495   -0.20824
 -0.17974   -0.17927   -0.1174    -0.125     -0.030526  -0.025497
  0.0046359 -0.01575    0.060226   0.073959   0.11217    0.13106
  0.14996    0.16296    0.14627    0.19226    0.18917    0.1898
  0.19043    0.19727    0.2041     0.22878    0.25617  ]",1.0378830247574928
10,-6866913456293303359,1.0,"[ 0.6364    0.68719   0.72685   0.68696   1.0376    2.326     3.4922
  3.7721    3.7621    3.2282    1.0019   -1.2071   -1.7826   -1.8423
 -1.8529   -1.9121   -1.8619   -1.831    -1.8591   -1.8415   -1.772
 -1.8605   -1.8452   -1.7869   -1.7578   -1.7898   -1.7903   -1.8215
 -1.7963   -1.737    -1.7651   -1.7914   -1.7342   -1.695    -1.7074
 -1.7154   -1.6526   -1.6986   -1.7091   -1.6597   -1.7015   -1.6393
 -1.6144   -1.6188   -1.5836   -1.5838   -1.5773   -1.5709   -1.5603
 -1.5326   -1.5184   -1.456    -1.4573   -1.4603   -1.4537   -1.3857
 -1.4235   -1.3843   -1.3152   -1.3324   -1.3218   -1.2811   -1.3132
 -1.2109   -1.1612   -1.1446   -1.1097   -1.0773   -1.0908   -1.0775
 -1.0482   -0.9246   -0.94503  -0.96587  -0.8435   -0.84618  -0.84599
 -0.76892  -0.82468  -0.79636  -0.76804  -0.7158   -0.68066  -0.66104
 -0.61545  -0.5757   -0.52924  -0.51246  -0.43741  -0.40948  -0.39412
 -0.45132  -0.32245  -0.30907  -0.29161  -0.31051  -0.25426  -0.18679
 -0.16049  -0.14497  -0.14333  -0.092202 -0.11012  -0.076451 -0.0434
  0.097325  0.012522  0.040199  0.036718  0.066431  0.13498   0.13635
  0.10549   0.15041   0.15713   0.18422   0.18263   0.1722  ]",0.9729121743506026
10,5807850272299553044,1.0,"[ 0.63415   0.62338   0.61393   0.64757   0.61246   0.58394   0.61701
  0.63975   0.59215   0.66621   0.60736   0.57032   0.64432   0.64219
  0.68676   0.63483   0.67689   0.60735   0.61321   0.62712   0.62053
  0.65723   0.70273   0.63054   0.59709   0.62915   0.6364    0.68719
  0.72685   0.68696   1.0376    2.326     3.4922    3.7721    3.7621
  3.2282    1.0019   -1.2071   -1.7826   -1.8423   -1.8529   -1.9121
 -1.8619   -1.831    -1.8591   -1.8415   -1.772    -1.8605   -1.8452
 -1.7869   -1.7578   -1.7898   -1.7903   -1.8215   -1.7963   -1.737
 -1.7651   -1.7914   -1.7342   -1.695    -1.7074   -1.7154   -1.6526
 -1.6986   -1.7091   -1.6597   -1.7015   -1.6393   -1.6144   -1.6188
 -1.5836   -1.5838   -1.5773   -1.5709   -1.5603   -1.5326   -1.5184
 -1.456    -1.4573   -1.4603   -1.4537   -1.3857   -1.4235   -1.3843
 -1.3152   -1.3324   -1.3218   -1.2811   -1.3132   -1.2109   -1.1612
 -1.1446   -1.1097   -1.0773   -1.0908   -1.0775   -1.0482   -0.9246
 -0.94503  -0.96587  -0.8435   -0.84618  -0.84599  -0.76892  -0.82468
 -0.79636  -0.76804  -0.7158   -0.68066  -0.66104  -0.61545  -0.5757
 -0.52924  -0.51246  -0.43741  -0.40948  -0.39412  -0.45132  -0.32245
 -0.30907  -0.29161  -0.31051  -0.25426  -0.18679  -0.16049  -0.14497
 -0.14333  -0.092202 -0.11012  -0.076451 -0.0434  ]",0.9351560305614494
10,3198622724278725639,1.0,"[ 0.61588     0.60973     0.63801099  0.60588864  0.62835077  0.63074452
  0.59395405  0.61606502  0.59677573  0.63600863  0.61840314  0.58803016
  0.59645439  0.58357401  0.57161832  0.64988876  0.62236223  0.57939666
  0.59686025  0.5966532   0.57374273  0.64223989  0.58745278  0.59594488
  0.60019798  0.61843293  0.61216076  0.6142101   0.63088493  0.61604
  0.65301     0.62308     0.63415     0.62338     0.61393     0.64757
  0.61246     0.58394     0.61701     0.63975     0.59215     0.66621
  0.60736     0.57032     0.64432     0.64219     0.68676     0.63483
  0.67689     0.60735     0.61321     0.62712     0.62053     0.65723
  0.70273     0.63054     0.59709     0.62915     0.6364      0.68719
  0.72685     0.68696     1.0376      2.326       3.4922      3.7721
  3.7621      3.2282      1.0019     -1.2071     -1.7826     -1.8423
 -1.8529     -1.9121     -1.8619     -1.831      -1.8591     -1.8415
 -1.772      -1.8605     -1.8452     -1.7869     -1.7578     -1.7898
 -1.7903     -1.8215     -1.7963     -1.737      -1.7651     -1.7914
 -1.7342     -1.695      -1.7074     -1.7154     -1.6526     -1.6986
 -1.7091     -1.6597     -1.7015     -1.6393     -1.6144     -1.6188
 -1.5836     -1.5838     -1.5773     -1.5709     -1.5603     -1.5326
 -1.5184     -1.456      -1.4573     -1.4603     -1.4537     -1.3857
 -1.4235     -1.3843     -1.3152     -1.3324     -1.3218     -1.2811
 -1.3132     -1.2109     -1.1612     -1.1446     -1.1097     -1.0773
 -1.0908     -1.0775     -1.0482     -0.9246     -0.94503   ]",0.9282685012662425
10,5367988249465895676,1.0,"[ 0.61588     0.60973     0.63801099  0.60588864  0.62835077  0.63074452
  0.59395405  0.61606502  0.59677573  0.63600863  0.61840314  0.58803016
  0.59645439  0.58357401  0.57161832  0.64988876  0.62236223  0.57939666
  0.59686025  0.5966532   0.57374273  0.64223989  0.58745278  0.59594488
  0.60019798  0.61843293  0.61216076  0.6142101   0.63088493  0.61604
  0.65301     0.62308     0.63415     0.62338     0.61393     0.64757
  0.61246     0.58394     0.61701     0.63975     0.59215     0.66621
  0.60736     0.57032     0.64432     0.64219     0.68676     0.63483
  0.67689     0.60735     0.61321     0.62712     0.62053     0.65723
  0.70273     0.63054     0.59709     0.62915     0.6364      0.68719
  0.72685     0.68696     1.0376      2.326       3.4922      3.7721
  3.7621      3.2282      1.0019     -1.2071     -1.7826     -1.8423
 -1.8529     -1.9121     -1.8619     -1.831      -1.8591     -1.8415
 -1.772      -1.8605     -1.8452     -1.7869     -1.7578     -1.7898
 -1.7903     -1.8215     -1.7963     -1.737      -1.7651     -1.7914
 -1.7342     -1.695      -1.7074     -1.7154     -1.6526     -1.6986
 -1.7091     -1.6597     -1.7015     -1.6393     -1.6144     -1.6188
 -1.5836     -1.5838     -1.5773     -1.5709     -1.5603     -1.5326
 -1.5184     -1.456      -1.4573     -1.4603     -1.4537     -1.3857
 -1.4235     -1.3843     -1.3152     -1.3324    ]",0.9261476337360735
10,-3352360488675416592,1.0,"[ 0.48981   0.55588   0.54763   0.57693   0.60291   0.55644   0.64973
  0.53093   0.64754   0.60234   0.56244   0.56984   0.58849   0.50549
  0.60271   0.63433   0.59487   0.59484   0.58213   0.60183   0.62892
  0.59627   0.66157   0.68706   1.1063    2.2698    3.5758    3.9373
  3.8632    0.9202   -1.2803   -1.906    -2.0395   -2.0292   -2.0146
 -2.0004   -2.0318   -1.9913   -2.0214   -2.0523   -1.9673   -1.9853
 -1.9595   -1.9998   -2.0138   -1.8936   -1.8786   -1.929    -1.9373
 -1.921    -1.898    -1.8749   -1.8422   -1.7944   -1.8332   -1.7859
 -1.8017   -1.7762   -1.7586   -1.7182   -1.7611   -1.7664   -1.7055
 -1.694    -1.6212   -1.5971   -1.6649   -1.5258   -1.5047   -1.5476
 -1.4712   -1.4838   -1.4729   -1.4242   -1.3438   -1.3881   -1.3621
 -1.3615   -1.2955   -1.2753   -1.1683   -1.1195   -1.1394   -1.105
 -1.0754   -1.0414   -0.96721  -0.92487  -0.84188  -0.89424  -0.88137
 -0.82786  -0.88168  -0.78449  -0.74377  -0.68185  -0.62839  -0.56723
 -0.52681  -0.52657  -0.52423  -0.46572  -0.40183  -0.46512  -0.3715
 -0.37413  -0.36477  -0.29792  -0.26174  -0.24388  -0.1622   -0.13593
 -0.1091   -0.19125  -0.058169 -0.019562 -0.060621 -0.013892 -0.034199
  0.083145  0.034004  0.054278  0.11049   0.12957   0.099133  0.16598
  0.13667   0.23049   0.23808   0.29625   0.2645  ]",0.9249068250444673
10,7266769364093594679,1.0,"[ 0.6606   0.67646  0.61966  0.6191   0.65701  0.59883  0.62308  0.66395
  0.61326  0.62988  0.55392  0.59174  0.62059  0.64712  0.6612   0.65826
  0.66511  0.684    0.64398  0.60397  0.63323  0.66948  0.64005  0.59524
  0.67342  0.63149  0.60152  0.64158  0.66708  0.68214  0.65585  0.65667
  0.62336  0.61025  0.69703  0.69567  0.67146  0.64189  0.6912   0.65239
  0.67052  0.70866  0.6838   0.71959  0.6794   0.68122  0.68305  0.76557
  0.67302  1.0421   2.2411   3.4884   3.8075   3.8051   3.1958   1.018
 -1.1243  -1.6616  -1.8348  -1.8169  -1.8126  -1.8084  -1.8066  -1.7516
 -1.8215  -1.7863  -1.801   -1.8115  -1.7764  -1.7104  -1.8137  -1.7492
 -1.7634  -1.7363  -1.7788  -1.7444  -1.7811  -1.8177  -1.6675  -1.6998
 -1.603   -1.6444  -1.6514  -1.6711  -1.6429  -1.6274  -1.5863  -1.6314
 -1.6001  -1.5759  -1.5517  -1.5363  -1.5266  -1.5213  -1.5159  -1.5152
 -1.5456  -1.4829  -1.4608  -1.4432  -1.4263  -1.3578  -1.3822  -1.3546
 -1.3188 ]",0.9184619973521968
10,7063858691205381793,1.0,"[ 0.6191   0.65701  0.59883  0.62308  0.66395  0.61326  0.62988  0.55392
  0.59174  0.62059  0.64712  0.6612   0.65826  0.66511  0.684    0.64398
  0.60397  0.63323  0.66948  0.64005  0.59524  0.67342  0.63149  0.60152
  0.64158  0.66708  0.68214  0.65585  0.65667  0.62336  0.61025  0.69703
  0.69567  0.67146  0.64189  0.6912   0.65239  0.67052  0.70866  0.6838
  0.71959  0.6794   0.68122  0.68305  0.76557  0.67302  1.0421   2.2411
  3.4884   3.8075   3.8051   3.1958   1.018   -1.1243  -1.6616  -1.8348
 -1.8169  -1.8126  -1.8084  -1.8066  -1.7516  -1.8215  -1.7863  -1.801
 -1.8115  -1.7764  -1.7104  -1.8137  -1.7492  -1.7634  -1.7363  -1.7788
 -1.7444  -1.7811  -1.8177  -1.6675  -1.6998  -1.603   -1.6444  -1.6514
 -1.6711  -1.6429  -1.6274  -1.5863  -1.6314  -1.6001  -1.5759  -1.5517
 -1.5363  -1.5266  -1.5213  -1.5159  -1.5152  -1.5456  -1.4829  -1.4608
 -1.4432  -1.4263  -1.3578  -1.3822  -1.3546  -1.3188  -1.3028  -1.35
 -1.2134  -1.2529  -1.243   -1.1754  -1.1385  -1.0718  -1.1182  -1.0372
 -1.0472  -1.0387  -1.0032  -0.96126 -0.92831 -0.89537]",0.9120481275402802
10,5774580041987084390,1.0,"[ 0.61588     0.60973     0.63801099  0.60588864  0.62835077  0.63074452
  0.59395405  0.61606502  0.59677573  0.63600863  0.61840314  0.58803016
  0.59645439  0.58357401  0.57161832  0.64988876  0.62236223  0.57939666
  0.59686025  0.5966532   0.57374273  0.64223989  0.58745278  0.59594488
  0.60019798  0.61843293  0.61216076  0.6142101   0.63088493  0.61604
  0.65301     0.62308     0.63415     0.62338     0.61393     0.64757
  0.61246     0.58394     0.61701     0.63975     0.59215     0.66621
  0.60736     0.57032     0.64432     0.64219     0.68676     0.63483
  0.67689     0.60735     0.61321     0.62712     0.62053     0.65723
  0.70273     0.63054     0.59709     0.62915     0.6364      0.68719
  0.72685     0.68696     1.0376      2.326       3.4922      3.7721
  3.7621      3.2282      1.0019     -1.2071     -1.7826     -1.8423
 -1.8529     -1.9121     -1.8619     -1.831      -1.8591     -1.8415
 -1.772      -1.8605     -1.8452     -1.7869     -1.7578     -1.7898
 -1.7903     -1.8215     -1.7963     -1.737      -1.7651     -1.7914
 -1.7342     -1.695      -1.7074     -1.7154     -1.6526     -1.6986
 -1.7091     -1.6597     -1.7015     -1.6393     -1.6144     -1.6188
 -1.5836     -1.5838     -1.5773    ]",0.9032424312811991
