shap.name,shap.Class,shap.subseq,shap.score,shap.thresh
0,0.0,0,0.0,0.0
3357129210543587545,1.0,"[-0.092194 -0.18128  -0.18128  -0.19401  -0.20674  -0.21947  -0.21947
 -0.24492  -0.27037  -0.2831   -0.054013  0.28962 ]",0.4252347533420747,1.0951251152265764
91152483375753867,1.0,"[-0.17397  -0.20846  -0.25444  -0.25444  -0.24294  -0.25444  -0.27743
 -0.28892  -0.28892  -0.27743  -0.27743   0.032943]",0.37619301002076955,1.4245043896325893
-2223541375858875560,1.0,"[-0.1868  -0.1868  -0.32457 -0.24943 -0.22438 -0.27448 -0.31205 -0.287
 -0.21185 -0.32457 -0.04903  0.36429]",0.3457588690754475,1.3786250095433732
1835383107966679105,1.0,"[-0.12334 -0.26205 -0.22422 -0.22422 -0.21161 -0.199   -0.28727 -0.23683
 -0.17378 -0.3251   0.05321  0.39369]",0.3348297654335856,1.3968010751033224
-3127545374660489002,1.0,"[ 0.10132    0.10132    0.064987   0.004431  -0.080348  -0.10457
 -0.11668   -0.11668   -0.1409    -0.15302   -0.1409    -0.16513
 -0.17724   -0.21357   -0.0076803  0.24666  ]",0.31940297712340826,1.4151250820141539
-268252291947032129,1.0,"[-0.28133  -0.28133  -0.44389  -0.3897   -0.40325  -0.40325  -0.36261
 -0.45743  -0.48453  -0.36261   0.043777 -0.18651 ]",0.2994661413692865,1.9712502151772124
-1959755499559326068,1.0,"[-0.10457   -0.11668   -0.11668   -0.1409    -0.15302   -0.1409
 -0.16513   -0.17724   -0.21357   -0.0076803  0.24666   -0.24991  ]",0.2790352295358206,2.0603594584241924
3561366202309168543,1.0,"[-0.096023 -0.10836  -0.15773  -0.14539  -0.14539  -0.15773  -0.17007
 -0.096023 -0.24412  -0.10836   0.33593   0.13847 ]",0.2782822125235792,1.7935825873772462
-809763151144677814,1.0,"[-0.11165   -0.036505  -0.074079  -0.061555   0.038643   0.051168
  0.13884    0.23904    0.21399    0.23904    0.063693   0.10127
  0.063693   0.0010692 -0.036505  -0.074079  -0.16175   -0.12418
 -0.1868    -0.1868    -0.32457   -0.24943   -0.22438   -0.27448
 -0.31205   -0.287     -0.21185   -0.32457   -0.04903    0.36429
 -0.04903   -0.85061  ]",0.2726533501894051,3.0855103449776538
6667535933296380387,1.0,"[-0.3897   -0.40325  -0.40325  -0.36261  -0.45743  -0.48453  -0.36261
  0.043777]",0.26391854762104505,0.8314059897753184
2305318288428381651,2.0,"[-0.040228 -0.060342 -0.020114 -0.080455 -0.12068   0.040228 -0.080455
 -1.0057  ]",0.20318523444445355,0.6277343762593816
-4255052781753228555,2.0,"[ 0.023929 -0.046993 -0.023352 -0.070634 -0.070634  0.04757  -0.070634
 -0.85078 ]",0.20290947338056023,0.5838384026379775
3113707972328532646,2.0,[0.2042   0.26109  0.31798  0.35591  0.2042   0.18524  0.18524  0.090422],0.19807337147310478,0.8737634761411289
6666664051996824775,2.0,[ 0.16681  0.28534  0.16681  0.04828  0.16681  0.16681  0.1431  -0.80514],0.18772078043919885,0.793697252701523
-8333783616201508284,2.0,"[ 0.020114  0.020114 -0.020114 -0.040228 -0.040228 -0.060342 -0.020114
 -0.080455 -0.12068   0.040228 -0.080455 -1.0057  ]",0.18332106620773186,0.8970569067289317
2800853648920620076,2.0,"[-0.079111 -0.13703  -0.17565  -0.21426  -0.19495  -0.13703  -0.11773
 -0.6004  ]",0.1809177593970019,0.9418503448325982
-7640958979244156601,2.0,[0.32633 0.34564 0.40356 0.44218 0.30703 0.30703 0.30703 0.21049],0.17818963997199655,0.9966201419372862
3780783903856375333,2.0,[0.15846 0.21937 0.25998 0.28028 0.32089 0.23968 0.19907 0.17877],0.170487112592178,1.075073066111036
4964169177406100730,2.0,"[0.11946   0.1772    0.23494   0.27343   0.15795   0.11946   0.10022
 0.0039899]",0.16575983892893792,0.8149872476351904
-2492632319368164854,2.0,"[ 1.0057e-01  3.8216e-01  6.0342e-01  6.8387e-01  7.0398e-01  7.4421e-01
  7.6433e-01  8.0455e-01  8.0455e-01  8.4478e-01  9.0512e-01  9.2524e-01
  9.8558e-01  1.0861e+00  1.1264e+00  1.1867e+00  1.2471e+00  1.2471e+00
  1.2471e+00  1.1867e+00  1.1063e+00  9.8558e-01  9.0512e-01  7.0398e-01
  5.6319e-01  4.6262e-01  3.6205e-01  2.0114e-01  1.0057e-01 -5.0608e-10
 -4.0228e-02 -1.6091e-01 -2.0114e-01 -2.2125e-01 -2.4137e-01 -2.8159e-01]",0.1656798901056924,2.4528150510382885
